unique_id,id,Date,Gender,venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
191,1195627,1/26/2020,male,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,['MS Wade']
192,1195628,1/27/2020,male,Docklands Stadium,Melbourne Renegades,Brisbane Heat,Brisbane Heat,bat,Melbourne Renegades,['AJ Finch']
193,1195629,1/30/2020,male,Bellerive Oval,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,bat,Sydney Thunder,['JD Cook']
194,1195630,1/31/2020,male,Melbourne Cricket Ground,Melbourne Stars,Sydney Sixers,Melbourne Stars,field,Sydney Sixers,"[""SNJ O'Keefe""]"
195,1195631,2/1/2020,male,Adelaide Oval,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,field,Sydney Thunder,['AD Hales']
196,1195632,2/6/2020,male,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Melbourne Stars,['NCR Larkin']
197,1195633,2/8/2020,male,Sydney Cricket Ground,Sydney Sixers,Melbourne Stars,Melbourne Stars,field,Sydney Sixers,['JR Philippe']
198,524915,12/16/2011,male,Sydney Cricket Ground,Sydney Sixers,Brisbane Heat,Brisbane Heat,bat,Sydney Sixers,['BJ Haddin']
199,524916,12/17/2011,male,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Sydney Thunder,['DA Warner']
200,524917,12/18/2011,male,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,field,Adelaide Strikers,['M Klinger']
201,524918,12/18/2011,male,Western Australia Cricket Association Ground,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,['BW Hilfenhaus']
202,524919,12/20/2011,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,Melbourne Stars,['RJ Quiney']
203,524920,12/21/2011,male,Bellerive Oval,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,bat,Hobart Hurricanes,['TR Birt']
204,524921,12/22/2011,male,Docklands Stadium,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,bat,Perth Scorchers,['SE Marsh']
205,524922,12/23/2011,male,Stadium Australia,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Sydney Thunder,['CH Gayle']
206,524923,12/27/2011,male,Sydney Cricket Ground,Sydney Sixers,Melbourne Stars,Sydney Sixers,bat,Sydney Sixers,['DJ Bravo']
207,524924,12/28/2011,male,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,['XJ Doherty']
