,Match_Id,Date,Gender,Venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
215,1184901,2019-05-22,male,Kyambogo Cricket Oval,Botswana,Namibia,Botswana,bat,Namibia,['C Viljoen']
216,1184902,2019-05-22,male,Lugogo Cricket Oval,Uganda,Kenya,Kenya,bat,Kenya,['RR Patel']
217,1185154,2019-05-26,female,YMCA Cricket Club,Ireland,West Indies,West Indies,bat,West Indies,['RR Patel']
218,1185155,2019-05-28,female,Sydney Parade,Ireland,West Indies,West Indies,bat,West Indies,['RR Patel']
219,1185156,2019-05-29,female,Sydney Parade,Ireland,West Indies,Ireland,field,West Indies,['RR Patel']
220,1185181,2019-06-15,male,King George V Sports Ground,Guernsey,Germany,Germany,field,Germany,['RR Patel']
221,1185182,2019-06-17,male,King George V Sports Ground,Denmark,Norway,Denmark,bat,Denmark,['SA Ahmad']
222,1185184,2019-06-16,male,King George V Sports Ground,Denmark,Jersey,Denmark,field,Jersey,['SA Ahmad']
223,1185185,2019-06-16,male,College Field,Guernsey,Italy,Guernsey,field,Italy,['SA Ahmad']
224,1185186,2019-06-16,male,King George V Sports Ground,Jersey,Norway,Jersey,bat,Jersey,['BDH Stevens']
225,1185187,2019-06-18,male,King George V Sports Ground,Guernsey,Denmark,Guernsey,field,no result,['BDH Stevens']
226,1185188,2019-06-20,male,College Field,Germany,Norway,Germany,field,Germany,['CAJ Meschede']
227,1185190,2019-06-20,male,College Field,Germany,Jersey,Germany,field,Germany,['B Ward']
228,1185191,2019-06-19,male,King George V Sports Ground,Guernsey,Norway,Guernsey,field,Guernsey,['B Ward']
229,1185192,2019-06-19,male,College Field,Italy,Jersey,Italy,field,Jersey,['B Ward']
230,1185193,2019-06-19,male,King George V Sports Ground,Denmark,Germany,Germany,field,Germany,['B Ward']
231,1185313,2020-02-12,male,Buffalo Park,South Africa,England,England,field,South Africa,['L Ngidi']
232,1185314,2020-02-14,male,Kingsmead,South Africa,England,South Africa,field,England,['MM Ali']
233,1185315,2020-02-16,male,SuperSport Park,South Africa,England,South Africa,bat,England,['EJG Morgan']
234,1185316,2020-02-21,male,The Wanderers Stadium,South Africa,Australia,South Africa,field,Australia,['AC Agar']
235,1185317,2020-02-23,male,St George's Park,South Africa,Australia,South Africa,bat,South Africa,['Q de Kock']
236,1185318,2020-02-26,male,Newlands,South Africa,Australia,South Africa,field,Australia,['MA Starc']
237,1186488,2019-06-24,male,Kinrara Academy Oval,Malaysia,Thailand,Malaysia,field,Malaysia,['M Syahadat Ramli']
